"file","source","row","col","width","height","avg_brightness","stddev"
"vitorino_185023_r1c3.jpg","Captura de tela 2026-07-23 185023.png","1","3","1080","1350","44,25","46,67"
"vitorino_185023_r1c4.jpg","Captura de tela 2026-07-23 185023.png","1","4","1080","1350","66,28","57,71"
"vitorino_185041_r1c1.jpg","Captura de tela 2026-07-23 185041.png","1","1","1080","1350","24,83","35"
"vitorino_185041_r1c2.jpg","Captura de tela 2026-07-23 185041.png","1","2","1080","1350","24,69","34,5"
"vitorino_185041_r1c3.jpg","Captura de tela 2026-07-23 185041.png","1","3","1080","1350","22,21","31,65"
"vitorino_185051_r1c1.jpg","Captura de tela 2026-07-23 185051.png","1","1","1080","1350","29,25","35,79"
"vitorino_185051_r1c2.jpg","Captura de tela 2026-07-23 185051.png","1","2","1080","1350","33,19","38,48"
"vitorino_185051_r1c3.jpg","Captura de tela 2026-07-23 185051.png","1","3","1080","1350","54,95","54,24"
"vitorino_185051_r1c4.jpg","Captura de tela 2026-07-23 185051.png","1","4","1080","1350","59,18","59,3"
"vitorino_185051_r2c1.jpg","Captura de tela 2026-07-23 185051.png","2","1","1080","1350","52,07","52,78"
"vitorino_185051_r2c2.jpg","Captura de tela 2026-07-23 185051.png","2","2","1080","1350","37,54","54,31"
"vitorino_185051_r2c3.jpg","Captura de tela 2026-07-23 185051.png","2","3","1080","1350","75,29","75,59"
"vitorino_185051_r2c4.jpg","Captura de tela 2026-07-23 185051.png","2","4","1080","1350","35,6","47,57"
"vitorino_185103_r1c1.jpg","Captura de tela 2026-07-23 185103.png","1","1","1080","1350","31,58","45,03"
"vitorino_185103_r1c2.jpg","Captura de tela 2026-07-23 185103.png","1","2","1080","1350","35,43","38,63"
"vitorino_185103_r1c3.jpg","Captura de tela 2026-07-23 185103.png","1","3","1080","1350","40,78","48,98"
"vitorino_185103_r1c4.jpg","Captura de tela 2026-07-23 185103.png","1","4","1080","1350","42,35","55,76"
"vitorino_185103_r2c1.jpg","Captura de tela 2026-07-23 185103.png","2","1","1080","1350","44,67","49,71"
"vitorino_185103_r2c2.jpg","Captura de tela 2026-07-23 185103.png","2","2","1080","1350","62,13","82,63"
"vitorino_185103_r2c3.jpg","Captura de tela 2026-07-23 185103.png","2","3","1080","1350","48,95","70,65"
"vitorino_185103_r2c4.jpg","Captura de tela 2026-07-23 185103.png","2","4","1080","1350","49,23","69,37"
"vitorino_185125_r1c1.jpg","Captura de tela 2026-07-23 185125.png","1","1","1080","1350","22,35","25,55"
"vitorino_185125_r1c2.jpg","Captura de tela 2026-07-23 185125.png","1","2","1080","1350","8,53","15,91"
"vitorino_185125_r1c3.jpg","Captura de tela 2026-07-23 185125.png","1","3","1080","1350","40,88","55,28"
"vitorino_185125_r1c4.jpg","Captura de tela 2026-07-23 185125.png","1","4","1080","1350","31,17","43,37"
"vitorino_185125_r2c1.jpg","Captura de tela 2026-07-23 185125.png","2","1","1080","1350","30,8","43,9"
"vitorino_185125_r2c2.jpg","Captura de tela 2026-07-23 185125.png","2","2","1080","1350","34,69","39,06"
"vitorino_185125_r2c3.jpg","Captura de tela 2026-07-23 185125.png","2","3","1080","1350","41,3","49,07"
"vitorino_185125_r2c4.jpg","Captura de tela 2026-07-23 185125.png","2","4","1080","1350","40,19","53,48"
"vitorino_185139_r1c1.jpg","Captura de tela 2026-07-23 185139.png","1","1","1080","1350","51,04","55,17"
"vitorino_185139_r1c2.jpg","Captura de tela 2026-07-23 185139.png","1","2","1080","1350","55,59","55,5"
"vitorino_185139_r1c3.jpg","Captura de tela 2026-07-23 185139.png","1","3","1080","1350","20,09","23,73"
"vitorino_185139_r1c4.jpg","Captura de tela 2026-07-23 185139.png","1","4","1080","1350","60,51","79,05"
"vitorino_185139_r2c1.jpg","Captura de tela 2026-07-23 185139.png","2","1","1080","1350","58,4","73,07"
"vitorino_185139_r2c2.jpg","Captura de tela 2026-07-23 185139.png","2","2","1080","1350","30,72","35,54"
